25080 [2017-05-28 18:10:12,399] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Element is displayed..
25080 [2017-05-28 18:10:12,399] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Clicking on Webelement..input_calendar
25080 [2017-05-28 18:10:12,399] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Inside getObjectFromRepo() function...
25080 [2017-05-28 18:10:12,399] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Locator value is found in properties file for locator key: input_calendar
25081 [2017-05-28 18:10:12,400] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Only one locator exists..
25127 [2017-05-28 18:10:12,446] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //div[*[@id='spaDayDatePicker']]
25167 [2017-05-28 18:10:12,486] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //div[*[@id='spaDayDatePicker']]
25167 [2017-05-28 18:10:12,486] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully located element: input_calendar
25343 [2017-05-28 18:10:12,662] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully clicked on: input_calendar
25343 [2017-05-28 18:10:12,662] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Clicking on Webelement..input_calendar_year
25343 [2017-05-28 18:10:12,662] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Inside getObjectFromRepo() function...
25343 [2017-05-28 18:10:12,662] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Locator value is found in properties file for locator key: input_calendar_year
25343 [2017-05-28 18:10:12,662] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Only one locator exists..
25409 [2017-05-28 18:10:12,728] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //select[@class='pika-select pika-select-year']|.//*[@id='pika-title-ix']/div[2]/select
25454 [2017-05-28 18:10:12,773] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //select[@class='pika-select pika-select-year']|.//*[@id='pika-title-ix']/div[2]/select
25454 [2017-05-28 18:10:12,773] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully located element: input_calendar_year
25562 [2017-05-28 18:10:12,881] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully clicked on: input_calendar_year
25562 [2017-05-28 18:10:12,881] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Inside getObjectFromRepo() function...
25562 [2017-05-28 18:10:12,881] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Locator value is found in properties file for locator key: input_calendar_year
25563 [2017-05-28 18:10:12,882] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Only one locator exists..
25611 [2017-05-28 18:10:12,930] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //select[@class='pika-select pika-select-year']|.//*[@id='pika-title-ix']/div[2]/select
25657 [2017-05-28 18:10:12,976] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //select[@class='pika-select pika-select-year']|.//*[@id='pika-title-ix']/div[2]/select
25657 [2017-05-28 18:10:12,976] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully located element: input_calendar_year
25770 [2017-05-28 18:10:13,089] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Dropdown- input_calendar_year successfully selected by value- 2017
27770 [2017-05-28 18:10:15,089] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Clicking on Webelement..input_calendar_month
27770 [2017-05-28 18:10:15,089] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Inside getObjectFromRepo() function...
27770 [2017-05-28 18:10:15,089] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Locator value is found in properties file for locator key: input_calendar_month
27770 [2017-05-28 18:10:15,089] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Only one locator exists..
27812 [2017-05-28 18:10:15,131] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //select[@class='pika-select pika-select-month']|.//*[@id='pika-title-ze']/div[1]/select[contains(@class,'month')]
27857 [2017-05-28 18:10:15,176] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //select[@class='pika-select pika-select-month']|.//*[@id='pika-title-ze']/div[1]/select[contains(@class,'month')]
27857 [2017-05-28 18:10:15,176] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully located element: input_calendar_month
27931 [2017-05-28 18:10:15,250] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully clicked on: input_calendar_month
27931 [2017-05-28 18:10:15,250] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Inside selectByVisibleText() function...
27931 [2017-05-28 18:10:15,250] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Inside getObjectFromRepo() function...
27932 [2017-05-28 18:10:15,251] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Locator value is found in properties file for locator key: input_calendar_month
27932 [2017-05-28 18:10:15,251] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Only one locator exists..
27982 [2017-05-28 18:10:15,301] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //select[@class='pika-select pika-select-month']|.//*[@id='pika-title-ze']/div[1]/select[contains(@class,'month')]
28025 [2017-05-28 18:10:15,344] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //select[@class='pika-select pika-select-month']|.//*[@id='pika-title-ze']/div[1]/select[contains(@class,'month')]
